DNA_isolation_method	platform	rank	R2_mean
I	ONT	phylum	0.928852287339388
I	ONT	order	0.586640117347305
I	ONT	genus	0.370452057877197
I	ONT	species	0.398978168634005
MN	ONT	phylum	0.779216276709825
MN	ONT	order	0.525771103206655
MN	ONT	genus	0.531378362924945
MN	ONT	species	0.55381341517775
Q	ONT	phylum	0.760261838191083
Q	ONT	order	0.448945568115801
Q	ONT	genus	0.489388138217787
Q	ONT	species	0.511004449582893
Z	ONT	phylum	0.832528502476539
Z	ONT	order	0.501817437777309
Z	ONT	genus	0.506805275381022
Z	ONT	species	0.529371086591206
