phylum	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331
Actinobacteria	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	1492000	1492000	1492000	1492000	22528	14613	16439	112	59	60	4922	3910	4862	76247	32020	87227
Euryarchaeota	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	5564110	5564110	5564110	5564110	297515	281146	277193	1342	1368	1488	1277191	1275664	1334461	935252	890025	679050
Fusobacteria	749000	749000	749000	749000	14329	10565	14303	59	46	48	11551	12715	11747	24022	17469	46405
Proteobacteria	1212900	1212900	1212900	1212900	130767	166444	124542	731	966	843	71426	64558	64546	479057	584818	406075
Verrucomicrobia	97000	97000	97000	97000	1220	359	3023	7	2	14	697	149	90	1307	903	3011
