order	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331
Bacillales	0	0	0	0	866	883	769	9	9	8	2102	2074	2277	2618	2584	2059
Bacteroidales	1492000	1492000	1492000	1492000	22528	14613	16439	112	59	60	4922	3910	4862	76247	32020	87227
Bifidobacteriales	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales	3014020	3014020	3014020	3014020	136973	139531	122373	635	711	648	578351	561400	652559	483819	474200	357354
Enterobacterales	1212900	1212900	1212900	1212900	130767	166444	124542	731	966	843	71426	64558	64546	479057	584818	406075
Fusobacteriales	749000	749000	749000	749000	14329	10565	14303	59	46	48	11551	12715	11747	24022	17469	46405
Lactobacillales	963090	963090	963090	963090	903	866	1048	11	7	8	411145	464796	317781	12391	12384	9089
Methanobacteriales	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellales	1587000	1587000	1587000	1587000	158773	139866	153003	687	641	824	285593	247394	361844	436424	400857	310548
Verrucomicrobiales	97000	97000	97000	97000	1220	359	3023	7	2	14	697	149	90	1307	903	3011
