Gram.Stain	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331
NA	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
negative	3550900	3550900	3550900	3550900	168844	191981	158307	909	1073	965	88596	81332	81245	580633	635210	542718
positive	6442110	6442110	6442110	6442110	297515	281146	277193	1342	1368	1488	1277191	1275664	1334461	935252	890025	679050
