family	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Listeriaceae	1410000	1410000	1410000	1410000	8802	10109	10323	2377	3421	1146	586	758	5677	4080	2134	2560	2152	518	273	192	202	622	808	12670	13347	11173	3252	4532	3217	1251	2262	627	7154	4364	5282
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	14	2	2	5	2	6	5	2	0
Morganellaceae	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	9	5	3	14	19	10	15	17	6	8	6	2
Paenibacillaceae	0	0	0	0	3	6	3	0	5	2	3	4	4	1	8	2	0	0	0	1	1	0	1	68	89	84	86	143	110	155	184	82	133	91	142
Pectobacteriaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	30	45	33	182	201	112	222	187	153	160	90	152
Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	5	7	9	5	7	0	8	2	6
Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	2	2	2	0	0
Pseudomonadaceae	420000	420000	420000	420000	845	743	761	6719	2886	3039	2237	3047	1161	1049	2008	180	168	781	1398	641	374	457	446	663	2859	1509	6279	2908	8429	2290	10827	2081	1043	706	7424
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	1	0	3	3	0	4	0	2	2	2
Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	12	9	12	11	10	8	5	6	20	7	7
Segniliparaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	5	12	9	12	3	11	4	10	10	12
Sporolactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	3	1	5	3	1	2	7	0	3	2	5
Staphylococcaceae	1550000	1550000	1550000	1550000	12145	13143	13451	4859	6280	607	342	438	2162	1873	1185	3328	2912	923	446	119	110	222	197	14323	15797	12329	6104	8145	5008	1049	2247	646	2943	2240	2047
Thermoactinomycetaceae	0	0	0	0	334	385	383	470	467	460	320	441	372	361	449	95	92	140	122	107	97	104	119	5	3	8	9	10	7	9	13	7	9	9	10
Thiotrichaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	3	2	0	0	2	1	1	3
unclassified	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	3	0	1	0	0	0	2
Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	19	7	58	37	41	45	35	26	27	23	26
Yersiniaceae	0	0	0	0	1	0	1	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	30	13	9	82	53	48	78	48	41	47	18	61
