Gram.Stain	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331
NA	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
negative	3550900	3550900	3550900	3550900	165649	190207	153309	886	1062	942	86590	80132	80293	574312	630495	532376
positive	6442110	6442110	6442110	6442110	293912	277400	275500	1316	1338	1482	1253764	1251413	1316198	923059	878590	669653
