phylum	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331
Actinobacteria	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	1492000	1492000	1492000	1492000	22287	14581	16366	110	59	64	5334	4367	5374	75394	32201	85912
Cyanobacteria	0	0	0	0	306	421	366	1	3	3	177	136	149	970	1325	1145
Euryarchaeota	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	5564110	5564110	5564110	5564110	293912	277400	275500	1316	1338	1482	1253764	1251413	1316198	923059	878590	669653
Fusobacteria	749000	749000	749000	749000	13385	9982	13287	57	44	48	10733	11820	11007	22513	16356	43112
Proteobacteria	1212900	1212900	1212900	1212900	129671	165223	123290	718	956	827	70346	63809	63763	475435	580613	402207
Verrucomicrobia	97000	97000	97000	97000	0	0	0	0	0	0	0	0	0	0	0	0
