sample2	sample	distance	sample_name	platform	library	DNA_isolation_kit	rep	sample_name.2	platform.2	library.2	DNA_isolation_kit.2	rep.2
Illumina_V1_V2_I1	Illumina_V1_V2_I1	0	I1	Illumina MiSeq	Zymo V1-V2	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_I3	0.708488302703341	I3	Illumina MiSeq	Illumina WGS	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_I1	0.754255473270566	I1	Illumina MiSeq	Zymo V3-V4	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_I1	0.684717884604526	I1	Illumina MiSeq	Illumina WGS	I	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V3_V4_I3	0.779081748426085	I3	Illumina MiSeq	Zymo V3-V4	I	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_WGS_I2	0.685162633871171	I2	Illumina MiSeq	Illumina WGS	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_Z1	0.675254381235012	Z1	ONT MinIon	ONT V1-V9	Z	1	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	ONT_V1_V9_MN3	0.665394485065916	MN3	ONT MinIon	ONT V1-V9	MN	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_Z3	0.407312820957354	Z3	Illumina MiSeq	Zymo V1-V2	Z	3	I1	Illumina MiSeq	Zymo V1-V2	I	1
Illumina_V1_V2_I1	Illumina_V1_V2_I2	0.0934393593574263	I2	Illumina MiSeq	Zymo V1-V2	I	2	I1	Illumina MiSeq	Zymo V1-V2	I	1
