dummy	order	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		331	309	328	361	532	455	661	350	1236	981	1521	1591	3616	313	3455	31	6135	4346	8	10305	1672	1767	780	1990	1087	6481	273	874	711	475	641	880	1141	871	608	1775	1614	1600	1853	156033	277171	188249	142683	250939	154620	132791	135797	3007	2262	2353	2608	159776	114096	99558	137304	7472	3111	14015	9966	78	19322	9220	6869	8174	3908	131765	4092	276	372	195	532	119	296	377	768	3707	1357	1159	1191
TRUE	Acaryochloridales	0	0	0	0	0	0	0	0	0	0	0	0	21	2	25	0	44	14	0	14	76	50	10	3	2	43	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	1	0	0	5	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acholeplasmatales	25	4	18	11	19	3	11	7	1	1	2	3	74	2	96	0	100	37	0	222	8	8	6	3	0	19	0	3	0	0	2	0	1	0	1	0	0	1	0	20	32	29	20	11	14	8	13	20	9	12	16	6	13	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminococcales	5	0	1	0	1	2	1	0	3	1	2	1	8	0	7	0	8	13	0	30	14	6	7	1	4	7	0	2	1	0	0	1	2	1	0	0	1	1	1	282	505	334	229	477	340	253	228	70	56	59	113	536	446	428	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidiferrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	49	32	17	66	18	21	20	0	1	1	4	37	21	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidilobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	8	12	10	6	11	8	8	8	8	8	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	5	6	1	35	0	26	4	0	14	4	4	17	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	3	3	0	4	5	0	0	0	0	2	3	1	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
TRUE	Acidithiobacillales	1	1	1	1	1	0	2	0	3	0	0	1	0	0	2	0	2	0	0	2	4	7	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	25	13	12	23	20	8	10	1	6	3	11	18	14	15	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidothermales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Actinomycetales	8	3	4	4	6	4	7	6	3	0	5	7	119	16	326	0	391	92	0	431	85	96	83	23	9	214	1	5	3	4	4	3	4	2	4	2	3	4	1	460	959	722	461	1443	502	462	549	88	87	80	92	813	607	472	373	0	0	0	1	0	2	2	1	0	1	4	0	0	0	0	1	0	2	1	1	0	0	1	0
TRUE	Actinopolysporales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	55	23	16	58	30	20	24	2	2	1	2	28	25	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	3	2	0	16	6	3	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	71	146	88	70	161	104	84	89	50	48	39	71	153	110	109	46	6	1	10	9	0	8	8	8	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alteromonadales	1	1	2	0	2	0	4	1	3	0	2	3	21	3	124	1	112	9	0	21	15	16	7	7	6	46	0	2	1	0	0	2	1	1	0	0	2	3	2	365	635	356	338	477	370	226	267	325	285	295	271	395	329	246	243	2	0	7	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Anaerolineales	5	0	2	2	4	1	10	2	5	1	8	1	154	5	569	2	612	77	0	429	60	62	138	59	42	250	2	0	0	0	0	1	0	0	0	1	0	1	0	34	48	37	22	55	22	23	28	10	10	5	4	60	26	27	31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aquificales	0	0	0	0	0	0	0	0	0	0	0	0	12	1	13	0	11	10	0	10	65	53	29	2	1	34	1	0	2	0	0	0	1	0	0	1	1	0	1	11	34	15	8	18	13	5	9	17	14	24	16	8	5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Archaeoglobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ardenticatenales	2	0	2	0	9	1	5	0	3	4	6	1	145	9	332	2	430	82	0	561	45	67	133	7	5	240	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	2	5	0	1	3	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
