family	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
Akkermansiaceae	97000	97000	97000	97000	1221.36263581295	359.987126700139	3034.66056296563	0	0	14.057143714898	696.047827113581	150.011699211076	90.0063474420514	1305.47496703488	902.067284230528	3014.2781421364
Bacteroidaceae	994000	994000	994000	994000	12214.6573472357	8532.06443963764	8404.78428381074	57.2031180400891	38.1405094494659	29.1183673469388	2432.57840930738	2184.17034051326	2749.22775229471	42060.6104579106	19184.3015014882	51616.5130957597
Bifidobacteriaceae	878000	878000	878000	878000	0	0	0	0	0	0	19.0013056252271	29.0022618474747	28.0019747597493	0	0	0
Chromatiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3715235636281	0
Clostridiaceae	20	20	20	20	59.0392728317538	0	0	0	0	0	19.0046424935267	36.0122794323291	18.0012694897046	0	0	0
Enterobacteriaceae	1212900	1212900	1212900	1212900	131350.610015911	167113.370322738	125128.126246623	736.615595912399	974.36773724567	855.477565780115	71626.965380602	64760.9664725136	64768.6124621639	481388.991972036	587591.509346735	408478.465522111
Enterococcaceae	90	90	90	90	0	0	0	0	0	0	46.0029515248687	44.0034317685823	62.0043726823021	20.0016463376889	14.0010443228685	0
Erysipelotrichaceae	0	0	0	0	41.0121769601402	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	749000	749000	749000	749000	14347.4315303275	10578.7927256502	14332.5368750687	61.2173719376392	46.1700903861956	48.1959183673469	11557.538438424	12732.0411436308	11762.1149527495	24052.4369642502	17492.7784127646	46473.014638363
Gomontiellaceae	0	0	0	0	33.0098009679177	0	0	0	0	0	0	0	0	0	0	0
Intrasporangiaceae	0	0	0	0	0	0	0	0	0	0	16.5381319690369	23.9529742700936	0	19.1766113811562	27.76798729593	0
Lachnospiraceae	989000	989000	989000	989000	16378.9846195486	13857.3432949035	15161.74880732	55.1959850866921	47.1737880032868	46.1877551020408	405301.593435153	328895.358926138	489533.03032995	59936.2164244175	54439.092468683	41665.2984938128
Lactobacillaceae	963000	963000	963000	963000	952.300785004202	872.074701409222	1053.22830631038	11.0391982182628	0	0	411937.238702363	465777.354939172	318383.753721773	12460.8723534512	12454.7949698613	9136.71501681006
Methanobacteriaceae	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0030457247244	41.0030583741149	42.0038759151807
Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2720038982492	13.6027263453945
Peptostreptococcaceae	262000	262000	262000	262000	33994.3992698808	29752.5473497001	29472.5837516082	102.363474387528	123.454806902219	159.668183521713	3851.08237424725	3427.81230912637	4960.92394142103	86442.6482447695	78160.2945513165	61561.6306583542
Prevotellaceae	498000	498000	498000	498000	10302.4914764834	6066.49727362406	8032.73638076186	55.195991091314	21.0776499589154	31.1265306122449	2487.14340163146	1724.43173103704	2097.14788286669	34161.4337997532	12829.9144125896	35583.4956018514
Ruminococcaceae	1763000	1763000	1763000	1763000	87261.7782281136	96075.0056800451	77969.7437860205	481.71046868239	547.237850264601	448.824489795918	170788.197189815	230325.457682931	159784.702437816	338068.114132425	342157.783639982	254592.105292813
Selenomonadaceae	0	0	0	0	23.0068309776396	0	28.0061600089833	0	0	0	0	0	0	0	0	0
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	26.0017866450476	24.0018718737721	40.0028210853562	0	0	0
Streptococcaceae	0	0	0	0	371.110256247356	0	97.0213400311209	0	0	0	0	0	0	0	0	0
Thermoactinomycetaceae	0	0	0	0	826.486806731533	792.501187902854	697.92152067263	0	0	0	1805.71993024341	1737.42330150006	1945.93944705811	2212.88557567849	2096.11981110828	1747.46795646554
Veillonellaceae	1587000	1587000	1587000	1587000	158776.318946954	139881.815897697	153045.901978788	692.458796643686	645.377567789647	827.344045758784	285410.346092868	247299.998635007	361770.530286377	436481.133804939	400960.927983704	310673.408979307
