genus	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0030457247244	41.0030583741149	42.0038759151807
Akkermansia	97000	97000	97000	97000	1221.36263581295	359.987126700139	3034.66056296563	0	0	14.057143714898	696.047827113581	150.011699211076	90.0063474420514	1305.47496703488	902.067284230528	3014.2781421364
Bacteroides	994000	994000	994000	994000	12214.6573472357	8532.06443963764	8404.78428381074	57.2031180400891	38.1405094494659	29.1183673469388	2432.57840930738	2184.17034051326	2749.22775229471	42060.6104579106	19184.3015014882	51616.5130957597
Bifidobacterium	878000	878000	878000	878000	0	0	0	0	0	0	19.0013056252271	29.0022618474747	28.0019747597493	0	0	0
Blautia	0	0	0	0	307.069429421372	0	26.88142974403	0	0	0	0	0	0	0	0	0
Clostridioides	262000	262000	262000	262000	33894.9644284086	29752.5473497001	29430.5744690328	102.363474387528	123.454806902219	159.668183521713	3851.08237424725	3427.81230912637	4960.92394142103	86442.6482447695	78160.2945513165	61561.6306583542
Clostridium	20	20	20	20	59.0392728317538	0	0	0	0	0	19.0046424935267	36.0122794323291	18.0012694897046	0	0	0
Crinalium	0	0	0	0	33.0098009679177	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	90	90	90	90	0	0	0	0	0	0	46.0029515248687	44.0034317685823	62.0043726823021	20.0016463376889	14.0010443228685	0
Escherichia	1212000	1212000	1212000	1212000	130805.835478748	166545.760704367	124691.515230108	736.615595912399	974.36773724567	855.477565780115	71315.1505670275	64520.0471770432	64464.6165985503	480100.456111352	586086.660709442	407233.383567119
Faecalibacterium	1763000	1763000	1763000	1763000	87261.7782281136	96063.0045923696	77969.7437860205	481.71046868239	547.237850264601	448.824489795918	170770.74364119	230301.756381475	159766.701003185	338032.270725499	342119.3657075	254559.952847739
Faecalimonas	0	0	0	0	30.0091697027721	0	18.1107133555604	0	0	0	0	0	0	0	0	0
Fusobacterium	749000	749000	749000	749000	14347.4315303275	10578.7927256502	14332.5368750687	61.2173719376392	46.1700903861956	48.1959183673469	11557.538438424	12732.0411436308	11762.1149527495	24052.4369642502	17492.7784127646	46473.014638363
