Gram.Stain	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
NA	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
negative	3550900	3550900	3550900	3550900	169469.562806738	192650.711888351	158932.84434923	910.232076981441	1079.75598704025	977.975525821544	88800.2734570784	81551.6213869057	81467.1093975168	583005.95120671	638052.945539745	545207.770876137
positive	6442110	6442110	6442110	6442110	298684.437193249	281231.288111658	277526.15565076	1342.76792301856	1363.24401295975	1482.02447417846	1279220.72654295	1277620.37861307	1336526.89060241	935641.048793399	890324.054460172	679390.229123908
