sample	db	workflow	is.significant	N
Zymo_D6331_VS_I_V1_V9	EmuDB	Emu	TRUE	9
Zymo_D6331_VS_I_V1_V9	EmuDB	Emu	FALSE	6
Zymo_D6331_VS_MN_V1_V9	EmuDB	Emu	TRUE	5
Zymo_D6331_VS_MN_V1_V9	EmuDB	Emu	FALSE	10
Zymo_D6331_VS_Q_V1_V9	EmuDB	Emu	FALSE	9
Zymo_D6331_VS_Q_V1_V9	EmuDB	Emu	TRUE	6
Zymo_D6331_VS_Z_V1_V9	EmuDB	Emu	FALSE	8
Zymo_D6331_VS_Z_V1_V9	EmuDB	Emu	TRUE	7
