family	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Acetobacteraceae	0	0	0	0	0	0	0	4	2	3	2	2	0	0	1	0	0	0	0	0	0	3	0	16	62	28	112	66	177	44	242	44	19	13	174
Aeromonadaceae	0	0	0	0	2	5	2	1	3	2	1	2	1	5	3	0	1	2	0	0	1	0	0	1	0	0	1	1	0	0	1	0	2	1	0
Alicyclobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	6	3	5	2	2	3	6	2	4
Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	15	2	20	27	15	23	16	16	15	16	14
Aphanizomenonaceae	0	0	0	0	1	0	0	2	0	2	1	2	1	2	1	2	0	0	0	0	0	0	0	1	1	0	0	3	0	0	3	0	1	1	1
Bacillaceae	1740000	1740000	1740000	1740000	16707	19021	19903	20607	29288	28259	14339	23875	27444	20756	37181	4249	3823	7835	3935	5037	5296	6758	5883	16239	15243	12531	18223	25204	28025	19807	32096	10631	22972	14697	25040
Brucellaceae	0	0	0	0	0	0	0	0	2	0	1	0	11	0	0	0	0	0	0	0	0	0	0	14	25	22	9	14	6	1	1	0	1	3	2
Bruguierivoracaceae	0	0	0	0	0	1	0	1	2	2	2	2	3	1	1	0	0	0	1	0	0	1	0	37	7	3	30	17	17	10	21	8	13	4	6
Budviciaceae	0	0	0	0	0	1	0	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	4	3	2	0	0
Burkholderiaceae	0	0	0	0	4	0	1	4	7	10	3	3	8	1	1	1	2	0	0	1	1	1	0	105	102	64	369	313	265	326	358	233	241	122	255
Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	2	1	4	1	2	1	2
Carnobacteriaceae	0	0	0	0	2	1	1	5	3	2	1	1	19	1	3	1	0	0	0	1	1	0	0	10	13	9	2	7	6	6	10	3	11	4	7
Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	3	8	3	2	5	2	2	1	4
Cellulomonadaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	47	18	102	51	128	36	190	38	13	12	117
