sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	rank	R2
I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I	I1	Zymo_D3600	1	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	5	D6300	phylum	0.999977115323315
I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I	I2	Zymo_D3600	2	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	5	D6300	phylum	0.999122524502156
I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	I	I3	Zymo_D3600	3	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	5	D6300	phylum	0.988843747721062
MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN	MN1	Zymo_D3600	1	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	6	D6300	phylum	0.371801590726766
MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN	MN2	Zymo_D3600	2	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	6	D6300	phylum	0.552347218384249
MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	MN	MN3	Zymo_D3600	3	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	6	D6300	phylum	0.53971962090988
Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q	Q1	Zymo_D3600	1	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	7	D6300	phylum	0.272657563865086
Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q	Q2	Zymo_D3600	2	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	7	D6300	phylum	0.474145619868044
Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q	Q3	Zymo_D3600	3	NCBI_genome_collection	V1_V2	Illumina	minitax	RandAln	NA	NA	NA	NA	7	D6300	phylum	0.209379456346874
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	I	I1	Zymo_D3600	1	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_invitrogen_I1_bc07_pass.bam	NA		1	D6300	phylum	0.999526844960029
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	I	I2	Zymo_D3600	2	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_invitrogen_I2_bc08_pass.bam	NA		1	D6300	phylum	0.999642753511492
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	I	I3	Zymo_D3600	3	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_invitrogen_I3_bc09_pass.bam	NA		1	D6300	phylum	0.999830047309229
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	I	I4	Zymo_D3600	4	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220825_invitrogen_I4_bc06_pass.bam	NA		1	D6300	phylum	0.997436136390736
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	I	I5	Zymo_D3600	5	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220825_invitrogen_I5_bc07_pass.bam	NA		1	D6300	phylum	0.996202736679559
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	MN	MN1	Zymo_D3600	1	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_macherey_nagel_MN1_bc04_pass.bam	NA		2	D6300	phylum	0.37336743887291
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	MN	MN2	Zymo_D3600	2	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_macherey_nagel_MN3_bc06_pass.bam	NA		2	D6300	phylum	0.620667109568973
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	MN	MN3	Zymo_D3600	3	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220825_macherey_nagel_MN4_bc03_pass.bam	NA		2	D6300	phylum	0.604895659453471
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	MN	MN4	Zymo_D3600	4	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220825_macherey_nagel_MN5_bc04_pass.bam	NA		2	D6300	phylum	0.239315642178294
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	Q	Q1	Zymo_D3600	1	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_qiagen_Q1_bc10_pass.bam	NA		3	D6300	phylum	0.304622888518317
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	Q	Q2	Zymo_D3600	2	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_qiagen_Q2_bc11_pass.bam	NA		3	D6300	phylum	0.211531998871458
V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	Q	Q3	Zymo_D3600	3	NCBI_genome_collection	V1_V9	ONT	minitax	RandAln	MCM_Zymo_D3600	MCM_Zymo_D3600_ONT_V1-V9_20220720_qiagen_Q3_bc12_pass.bam	NA		3	D6300	phylum	0.261091169689303
