sample	db	workflow	is.significant	N
Zymo_6300_VS_I_V1_V2	NCBI_genome_collection	minitax	FALSE	8
Zymo_6300_VS_I_V1_V9	NCBI_genome_collection	minitax	FALSE	8
Zymo_6300_VS_MN_V1_V2	NCBI_genome_collection	minitax	FALSE	7
Zymo_6300_VS_MN_V1_V2	NCBI_genome_collection	minitax	TRUE	1
Zymo_6300_VS_MN_V1_V9	NCBI_genome_collection	minitax	FALSE	5
Zymo_6300_VS_MN_V1_V9	NCBI_genome_collection	minitax	TRUE	3
Zymo_6300_VS_Q_V1_V2	NCBI_genome_collection	minitax	FALSE	3
Zymo_6300_VS_Q_V1_V2	NCBI_genome_collection	minitax	TRUE	5
Zymo_6300_VS_Q_V1_V9	NCBI_genome_collection	minitax	FALSE	4
Zymo_6300_VS_Q_V1_V9	NCBI_genome_collection	minitax	TRUE	4
Zymo_6300_VS_Z_V1_V2	NCBI_genome_collection	minitax	FALSE	7
Zymo_6300_VS_Z_V1_V2	NCBI_genome_collection	minitax	TRUE	1
Zymo_6300_VS_Z_V1_V9	NCBI_genome_collection	minitax	FALSE	6
Zymo_6300_VS_Z_V1_V9	NCBI_genome_collection	minitax	TRUE	2
