genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN_V1_V2_illumina_dada2_EMUdb_4_D6300	Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z_V1_V2_illumina_dada2_EMUdb_3_D6300
Bacillus	1740000	1740000	1740000	1740000	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	990000	990000	990000	990000	1830	1811	1476	896	1263	753	277	480	137	1647	1079	951
Escherichia	1010000	1010000	1010000	1010000	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus	1840000	1840000	1840000	1840000	3372	3833	2857	1189	1123	697	239	595	104	2325	1314	685
Listeria	1410000	1410000	1410000	1410000	2608	2547	2139	650	864	606	256	431	128	1527	928	973
Pseudomonas	420000	420000	420000	420000	168	645	300	1431	663	1683	505	2307	451	233	154	1489
Salmonella	1040000	1040000	1040000	1040000	2043	2179	1274	6945	6694	6387	6692	6372	4472	4654	3453	5416
Staphylococcus	1550000	1550000	1550000	1550000	3735	3923	3197	1374	2044	1216	151	431	90	640	482	399
