genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__EMU_EMUdb_I1_D6300	V1_V9_ONT__EMU_EMUdb_I2_D6300	V1_V9_ONT__EMU_EMUdb_I3_D6300	V1_V9_ONT__EMU_EMUdb_I4_D6300	V1_V9_ONT__EMU_EMUdb_I5_D6300	V1_V9_ONT__EMU_EMUdb_MN1_D6300	V1_V9_ONT__EMU_EMUdb_MN3_D6300	V1_V9_ONT__EMU_EMUdb_MN4_D6300	V1_V9_ONT__EMU_EMUdb_MN5_D6300	V1_V9_ONT__EMU_EMUdb_Q1_D6300	V1_V9_ONT__EMU_EMUdb_Q2_D6300	V1_V9_ONT__EMU_EMUdb_Q3_D6300	V1_V9_ONT__EMU_EMUdb_Q4_D6300	V1_V9_ONT__EMU_EMUdb_Q5_D6300	V1_V9_ONT__EMU_EMUdb_Z1_D6300	V1_V9_ONT__EMU_EMUdb_Z2_D6300	V1_V9_ONT__EMU_EMUdb_Z3_D6300	V1_V9_ONT__EMU_EMUdb_Z4_D6300	V1_V9_ONT__EMU_EMUdb_Z5_D6300	I_V1_V2_illumina_EMU_EMUdb_1_D6300	I_V1_V2_illumina_EMU_EMUdb_2_D6300	I_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_4_D6300	Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z_V1_V2_illumina_EMU_EMUdb_3_D6300
Alginatibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	108	71	452	360	293	341	309	227	238	182	309
Bacillus	1740000	1740000	1740000	1740000	17532	19930	20882	4435	4003	21698	30735	8216	4146	29765	15077	25036	5325	5617	28932	21788	38885	7083	6190	15669	14871	12259	17929	24543	27437	19369	31572	10528	22331	14460	24443
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	54	30	49	83	49	59	74	45	73	42	62
Citrobacter	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19	0	0	0	0	820	717	458	2839	2470	2086	2436	2255	1541	1727	1058	2045
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	276	161	1479	1238	817	1038	1000	696	726	501	686
Enterococcus	990000	990000	990000	990000	10309	11160	11536	2899	2597	5046	7552	1094	583	1989	957	1363	265	366	9364	7371	4613	1712	1351	8742	8874	7310	4243	6071	3593	1367	2221	749	7417	4930	4633
Escherichia	1010000	1010000	1010000	1010000	11100	12356	12981	2594	2346	41344	35857	7638	9509	44639	31732	41407	7989	7390	29519	24415	34216	7563	7899	8813	6861	4159	29031	27077	21239	25925	22803	17761	19666	13020	18697
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	134	134	142	194	246	158	311	93	169	112	247
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	454	252	1472	1490	1055	1714	1208	1071	1094	725	1261
Laceyella	0	0	0	0	196	189	209	63	46	258	250	78	72	238	170	237	61	63	217	206	239	48	72	0	0	0	0	0	0	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	969	607	3067	3070	3247	2934	3207	2067	2112	1599	2728
Limosilactobacillus	1840000	1840000	1840000	1840000	16038	16476	17195	4209	4316	4952	4967	670	498	1328	634	797	253	258	9911	7294	5807	829	600	18582	22942	18013	6447	6176	4166	1406	3559	727	12132	7010	4344
Listeria	1410000	1410000	1410000	1410000	15908	18403	18665	4458	3919	4197	6093	927	510	2044	998	1377	336	389	10058	7501	3862	1075	1409	13845	14511	12308	3565	4949	3503	1387	2503	671	7828	4797	5788
Metakosakonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	113	56	386	398	321	310	317	205	230	149	243
Mixta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	31	18	93	86	109	61	105	45	58	47	83
Pseudomonas	420000	420000	420000	420000	929	882	870	204	181	8148	3374	891	1683	3286	2780	3803	751	439	1390	1146	2318	538	494	789	3086	1628	7039	3218	9291	2491	12016	2321	1184	796	7986
Salmonella	1040000	1040000	1040000	1040000	10248	11399	12003	2538	2191	37175	31848	6721	8323	39966	27811	37098	7170	6851	26224	21522	30285	6823	6987	8033	7645	4578	26752	25553	21501	25727	22516	17538	18795	12909	19718
Shigella	0	0	0	0	136	193	193	63	44	455	473	104	117	524	329	458	114	128	412	333	412	136	148	1526	1217	746	5311	4748	3824	4704	4082	3232	3558	2190	3462
Staphylococcus	1550000	1550000	1550000	1550000	16388	17625	17945	4383	3855	6178	8405	1256	586	819	439	578	145	145	2810	2486	1528	282	277	15262	16306	12523	6391	8443	5183	1044	2286	655	2943	2259	2062
Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	344	209	106	91	49	17	53	11	179	76	55
