Species	sample	l2Fold_Diff	is.significant	db	workflow
Limosilactobacillus fermentum	Zymo_6300_VS_Z_V1_V2	0.413897847303755	FALSE	EmuDB	Emu
Listeria monocytogenes	Zymo_6300_VS_Z_V1_V2	0.483880279809849	FALSE	EmuDB	Emu
Pseudomonas aeruginosa	Zymo_6300_VS_Z_V1_V2	-0.488550753929878	FALSE	EmuDB	Emu
Salmonella enterica	Zymo_6300_VS_Z_V1_V2	-1.55089860450564	FALSE	EmuDB	Emu
Staphylococcus aureus	Zymo_6300_VS_Z_V1_V2	1.8424220161828	FALSE	EmuDB	Emu
Bacillus subtilis	Zymo_6300_VS_Z_V1_V9	-1.45556971310902	FALSE	EmuDB	Emu
Enterococcus faecalis	Zymo_6300_VS_Z_V1_V9	-0.153054693254712	FALSE	EmuDB	Emu
Escherichia coli	Zymo_6300_VS_Z_V1_V9	-2.32009845092231	TRUE	EmuDB	Emu
Limosilactobacillus fermentum	Zymo_6300_VS_Z_V1_V9	0.993351840074768	FALSE	EmuDB	Emu
Listeria monocytogenes	Zymo_6300_VS_Z_V1_V9	0.468346006768645	FALSE	EmuDB	Emu
Pseudomonas aeruginosa	Zymo_6300_VS_Z_V1_V9	0.460586218020668	FALSE	EmuDB	Emu
Salmonella enterica	Zymo_6300_VS_Z_V1_V9	-2.10714383774401	TRUE	EmuDB	Emu
Staphylococcus aureus	Zymo_6300_VS_Z_V1_V9	2.3977152228169	TRUE	EmuDB	Emu
