class	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__EMU_EMUdb_I1_D6300	V1_V9_ONT__EMU_EMUdb_I2_D6300	V1_V9_ONT__EMU_EMUdb_I3_D6300	V1_V9_ONT__EMU_EMUdb_I4_D6300	V1_V9_ONT__EMU_EMUdb_I5_D6300	V1_V9_ONT__EMU_EMUdb_MN1_D6300	V1_V9_ONT__EMU_EMUdb_MN3_D6300	V1_V9_ONT__EMU_EMUdb_MN4_D6300	V1_V9_ONT__EMU_EMUdb_MN5_D6300	V1_V9_ONT__EMU_EMUdb_Q1_D6300	V1_V9_ONT__EMU_EMUdb_Q2_D6300	V1_V9_ONT__EMU_EMUdb_Q3_D6300	V1_V9_ONT__EMU_EMUdb_Q4_D6300	V1_V9_ONT__EMU_EMUdb_Q5_D6300	V1_V9_ONT__EMU_EMUdb_Z1_D6300	V1_V9_ONT__EMU_EMUdb_Z2_D6300	V1_V9_ONT__EMU_EMUdb_Z3_D6300	V1_V9_ONT__EMU_EMUdb_Z4_D6300	V1_V9_ONT__EMU_EMUdb_Z5_D6300	I_V1_V2_illumina_EMU_EMUdb_1_D6300	I_V1_V2_illumina_EMU_EMUdb_2_D6300	I_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_4_D6300	Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z_V1_V2_illumina_EMU_EMUdb_3_D6300
Actinomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	12	0	0	0	0	14	0	10
Bacilli	7530000	7530000	7530000	7530000	76371	83783	86432	20447	18736	42329	58002	12241	6395	36183	18275	29388	6385	6838	61292	46646	54934	11029	9899	72822	78164	62895	39064	50719	44385	24936	42741	13520	53253	33775	41778
Clostridia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	58	39	41	62	59	40	54	24	58	26	53
Gammaproteobacteria	2470000	2470000	2470000	2470000	22413	24830	26047	5399	4762	87132	71552	15354	19632	88415	62652	82766	16024	14808	57564	47416	67231	15060	15528	21901	21549	12758	78446	70215	64040	68244	70220	47026	49729	33347	57500
