species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__EMU_EMUdb_I1_D6300	V1_V9_ONT__EMU_EMUdb_I2_D6300	V1_V9_ONT__EMU_EMUdb_I3_D6300	V1_V9_ONT__EMU_EMUdb_I4_D6300	V1_V9_ONT__EMU_EMUdb_I5_D6300	V1_V9_ONT__EMU_EMUdb_MN1_D6300	V1_V9_ONT__EMU_EMUdb_MN3_D6300	V1_V9_ONT__EMU_EMUdb_MN4_D6300	V1_V9_ONT__EMU_EMUdb_MN5_D6300	V1_V9_ONT__EMU_EMUdb_Q1_D6300	V1_V9_ONT__EMU_EMUdb_Q2_D6300	V1_V9_ONT__EMU_EMUdb_Q3_D6300	V1_V9_ONT__EMU_EMUdb_Q4_D6300	V1_V9_ONT__EMU_EMUdb_Q5_D6300	V1_V9_ONT__EMU_EMUdb_Z1_D6300	V1_V9_ONT__EMU_EMUdb_Z2_D6300	V1_V9_ONT__EMU_EMUdb_Z3_D6300	V1_V9_ONT__EMU_EMUdb_Z4_D6300	V1_V9_ONT__EMU_EMUdb_Z5_D6300	I_V1_V2_illumina_EMU_EMUdb_1_D6300	I_V1_V2_illumina_EMU_EMUdb_2_D6300	I_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_4_D6300	Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z_V1_V2_illumina_EMU_EMUdb_3_D6300
Bacillus amyloliquefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1178	851	689	1177	1483	1651	1058	1872	601	1262	819	1403
Bacillus atrophaeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1836	1697	1472	2114	3026	3314	2455	3755	1284	2783	1817	2885
Bacillus sp. JS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	844	706	1041	1534	1674	1182	1913	665	1383	901	1517
Bacillus subtilis	1740000	1740000	1740000	1740000	17503	19890	20851	4422	4003	21626	30685	8201	4146	29722	15047	24992	5308	5606	28673	21763	38828	7070	6175	6839	6650	5604	7929	10905	12286	8668	13894	4717	10078	6556	10868
Bacillus thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	639	459	544	762	848	727	1055	320	657	476	1033
Bacillus vallismortis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	1069	873	1213	1703	1912	1330	2187	702	1551	977	1691
Bacillus velezensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2132	1823	1432	2214	2932	3234	2226	4009	1279	2603	1663	2894
Citrobacter amalonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	414	256	1606	1415	1274	1329	1347	860	981	594	1144
Enterococcus faecalis	990000	990000	990000	990000	10309	11160	11536	2899	2597	5046	7552	1094	583	1989	957	1363	265	366	9364	7371	4613	1712	1351	8377	8195	6703	3993	5781	3401	1308	2117	706	6924	4617	4355
Escherichia coli	1010000	1010000	1010000	1010000	11100	12356	12981	2594	2346	41344	35857	7638	9509	44639	31732	41407	7989	7390	29519	24415	34216	7563	7899	8459	6586	4035	27850	26015	20509	24936	21671	17062	18870	12536	17985
Klebsiella pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	436	252	1282	1361	990	1584	1126	982	967	674	1202
Lelliottia amnigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	969	607	3067	3070	3247	2934	3207	2067	2112	1599	2728
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	16038	16476	17195	4209	4316	4952	4967	670	498	1328	634	797	253	258	9911	7294	5807	829	600	18582	22942	18013	6447	6176	4166	1406	3559	727	12132	7010	4344
Listeria monocytogenes	1410000	1410000	1410000	1410000	15908	18403	18665	4458	3919	4197	6093	927	510	2044	998	1377	336	389	10030	7501	3862	1075	1409	12462	13299	11298	3196	4528	3228	1259	2307	628	7160	4435	5316
Pseudomonas aeruginosa	420000	420000	420000	420000	929	882	870	204	181	8148	3374	891	1683	3286	2780	3803	751	439	1390	1146	2318	538	494	779	2983	1575	6699	3089	8836	2410	11453	2259	1142	784	7657
Salmonella enterica	1040000	1040000	1040000	1040000	10248	11399	12003	2538	2191	37175	31848	6721	8323	39966	27811	37098	7170	6851	26224	21522	30285	6823	6987	7903	7504	4533	26220	25068	21109	25258	22146	17192	18443	12683	19429
Shigella dysenteriae	0	0	0	0	136	193	193	63	44	377	442	104	117	495	329	458	86	118	289	320	395	136	148	380	313	189	1362	1258	1044	1255	1110	854	987	580	913
Shigella flexneri	0	0	0	0	0	0	0	0	0	78	31	0	0	29	0	0	28	10	123	13	17	0	0	440	359	237	1609	1447	1129	1410	1193	985	1023	669	1046
Shigella sonnei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	305	167	1302	1086	915	1071	953	755	794	506	759
Staphylococcus aureus	1550000	1550000	1550000	1550000	16388	17625	17945	4383	3855	6178	8405	1256	586	819	439	578	145	145	2810	2486	1528	282	277	14660	15837	12214	6160	8205	5030	1044	2262	655	2882	2228	2030
