order	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	Q_V1_V2_illumina_dada2_SILVA_1_D6300	Q_V1_V2_illumina_dada2_SILVA_2_D6300	Q_V1_V2_illumina_dada2_SILVA_4_D6300	Z_V1_V2_illumina_dada2_SILVA_1_D6300	Z_V1_V2_illumina_dada2_SILVA_2_D6300	Z_V1_V2_illumina_dada2_SILVA_4_D6300
Bacillales	4700000	4700000	4700000	4700000	7376	7175	6064	5471	7504	8025	5140	8536	2837	7551	4842	7023
Enterobacterales	2050000	2050000	2050000	2050000	4394	4046	2392	15159	14582	12346	14082	12174	9757	10880	7351	10449
Lactobacillales	2830000	2830000	2830000	2830000	1830	1811	1476	896	1263	753	277	480	137	1647	1079	951
Pseudomonadales	420000	420000	420000	420000	168	645	300	1431	663	1683	505	2307	451	233	154	1489
Staphylococcales	0	0	0	0	196	133	115	61	86	51	10	18	4	49	18	22
