genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	Q_V1_V2_illumina_dada2_SILVA_1_D6300	Q_V1_V2_illumina_dada2_SILVA_2_D6300	Q_V1_V2_illumina_dada2_SILVA_4_D6300	Z_V1_V2_illumina_dada2_SILVA_1_D6300	Z_V1_V2_illumina_dada2_SILVA_2_D6300	Z_V1_V2_illumina_dada2_SILVA_4_D6300
Bacillus	1740000	1740000	1740000	1740000	3877	3567	2994	4491	6119	7079	4848	8001	2688	5919	3784	5932
Enterococcus	990000	990000	990000	990000	1830	1811	1476	896	1263	753	277	480	137	1647	1079	951
Escherichia	1010000	1010000	1010000	1010000	606	465	313	2138	2080	1699	1994	1604	1422	1629	1027	1401
Limosilactobacillus	1840000	1840000	1840000	1840000	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	1410000	1410000	1410000	1410000	2608	2547	2139	650	864	606	256	431	128	1527	928	973
Pseudomonas	420000	420000	420000	420000	168	645	300	1431	663	1683	505	2307	451	233	154	1489
Salmonella	1040000	1040000	1040000	1040000	3030	2804	1629	10164	9609	8222	9443	8230	6540	7204	4933	7037
Shigella	0	0	0	0	758	777	450	2857	2893	2425	2645	2340	1795	2047	1391	2011
Staphylococcus	1550000	1550000	1550000	1550000	1087	1194	1046	391	607	391	46	122	25	154	148	140
