family	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	Q_V1_V2_illumina_dada2_SILVA_1_D6300	Q_V1_V2_illumina_dada2_SILVA_2_D6300	Q_V1_V2_illumina_dada2_SILVA_4_D6300	Z_V1_V2_illumina_dada2_SILVA_1_D6300	Z_V1_V2_illumina_dada2_SILVA_2_D6300	Z_V1_V2_illumina_dada2_SILVA_4_D6300
Bacillaceae	1740000	1740000	1740000	1740000	3877	3567	2994	4491	6119	7079	4848	8001	2688	5919	3784	5932
Enterobacteriaceae	2050000	2050000	2050000	2050000	4394	4046	2392	15159	14582	12346	14082	12174	9757	10880	7351	10449
Enterococcaceae	990000	990000	990000	990000	1830	1811	1476	896	1263	753	277	480	137	1647	1079	951
Lactobacillaceae	1840000	1840000	1840000	1840000	0	0	0	0	0	0	0	0	0	0	0	0
Listeriaceae	1410000	1410000	1410000	1410000	2608	2547	2139	650	864	606	256	431	128	1527	928	973
Pseudomonadaceae	420000	420000	420000	420000	168	645	300	1431	663	1683	505	2307	451	233	154	1489
Staphylococcaceae	1550000	1550000	1550000	1550000	1087	1194	1046	391	607	391	46	122	25	154	148	140
