genus	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Acidaminococcus	0	1271	0
Acinetobacter	0	17	0
Actinomyces	0	10	0
Acutalibacter	0	366	0
Aeromonas	0	105	0
Agathobaculum	0	229	0
Agrilactobacillus	0	20	0
Akkermansia	162000	38211	39181
Alistipes	0	794	0
Alkaliphilus	0	132	0
Alloprevotella	0	1839	0
Amedibacillus	0	96	0
Anaerobutyricum	0	193	0
Anaerotignum	0	23	0
Anaerotruncus	0	484	0
Aquimarina	0	12	0
Arthrobacter	0	85	0
Asaccharospora	0	25	0
Atlantibacter	0	351	0
Azospirillum	0	16	0
Bacteroides	833000	366269	370441
Barnesiella	0	245	0
Bifidobacterium	883000	38987	39181
Bittarella	0	213	0
Blautia	0	2597	0
Brenneria	0	32	0
Buttiauxella	0	97	0
Butyrivibrio	0	55	0
Candida	31000	4543	5145
Capnocytophaga	0	783	0
Catenibacterium	0	327	0
Caulobacter	0	39	0
Cedecea	0	44	0
Cetobacterium	0	27	0
Chania	0	10	0
Chromobacterium	0	18	0
Citrobacter	0	1773	0
Clostridioides	110000	37268	49669
Clostridium	10	20127	0
Colwellia	0	35	0
Comamonas	0	48	0
Companilactobacillus	0	116	0
Coprobacter	0	40	0
Coprococcus	0	2768	0
Corynebacterium	0	55	0
Cronobacter	0	180	0
Cryptococcus	0	66	0
Culturomica	0	178	0
Delftia	0	38	0
Desulfomicrobium	0	49	0
Desulfotalea	0	12	0
Desulfotomaculum	0	94	0
Dickeya	0	55	0
Dorea	0	992	0
Edwardsiella	0	175	0
Eggerthella	0	1345	0
Eisenbergiella	0	13	0
Enterobacter	0	21205	0
Enterocloster	0	721	0
Enterococcus	110	34	0
Erysipelatoclostridium	0	80	0
Escherichia	871000	70536	341946
Eubacterium	0	2616	0
Faecalibacterium	1477000	358915	247159
Faecalicatena	0	25	0
Flavobacterium	0	586	0
Flavonifractor	0	1283	0
Fructilactobacillus	0	17	0
Fusicatenibacter	0	784	0
Fusobacterium	753000	108575	83903
Gardnerella	0	10	0
Gibbsiella	0	24	0
Grimontia	0	26	0
Hafnia	0	19	0
Hallerella	0	39	0
Hespellia	0	13	0
Holdemania	0	370	0
Hungatella	0	425	0
Jiangella	0	16	0
Klebsiella	0	365	0
Kluyvera	0	11	0
Kosakonia	0	93	0
Lachnoanaerobaculum	0	805	0
Lachnoclostridium	0	42	0
Lachnospira	0	1488	0
Lacrimispora	0	62	0
Lacticaseibacillus	0	74	0
Lactiplantibacillus	0	37	0
Lactobacillus	0	4296	0
Lapidilactobacillus	0	12	0
Leeuwenhoekiella	0	11	0
Leminorella	0	13	0
Lentilactobacillus	0	57	0
Leptotrichia	0	74	0
Leucobacter	0	12	0
Leuconostoc	0	21	0
Levilactobacillus	0	10	0
Ligilactobacillus	0	177	0
Limosilactobacillus	968000	17579	18205
Liquorilactobacillus	0	257	0
Loigolactobacillus	0	28	0
Mediterraneibacter	0	665	0
Megamonas	0	162	0
Megasphaera	0	180	0
Metakosakonia	0	23	0
Methanobrevibacter	17000	1028	1187
Methylobacterium	0	33	0
Mitsuokella	0	873	0
Mixta	0	10	0
Monoglobus	0	49	0
Morganella	0	66	0
Negativicoccus	0	73	0
Neisseria	0	896	0
Obesumbacterium	0	37	0
Odoribacter	0	78	0
Ornithobacterium	0	284	0
Oscillibacter	0	941	0
Paeniclostridium	0	13	0
Pantoea	0	154	0
Parabacteroides	0	1598	0
Paraclostridium	0	16	0
Paraprevotella	0	1366	0
Paucilactobacillus	0	43	0
Pectobacterium	0	93	0
Peptoanaerobacter	0	189	0
Peptoniphilus	0	33	0
Petrotoga	0	16	0
Phascolarctobacterium	0	337	0
Phocaeicola	0	1976	0
Photobacterium	0	11	0
Photorhabdus	0	170	0
Phytobacter	0	44	0
Plantactinospora	0	14	0
Pluralibacter	0	228	0
Porphyromonas	0	384	0
Prevotella	626000	152073	110815
Propionibacterium	0	95	0
Providencia	0	20	0
Pseudescherichia	0	56	0
Pseudoalteromonas	0	15	0
Pseudocitrobacter	0	37	0
Pseudoleptotrichia	0	37	0
Pseudomonas	0	403	0
Pseudovibrio	0	10	0
Raoultella	0	265	0
Romboutsia	0	248	0
Roseburia	1243000	108086	90236
Rothia	0	23	0
Ruminococcus	0	2302	0
Saccharomyces	32000	3985	4353
Salmonella	700	710	1385
Secundilactobacillus	0	181	0
Selenomonas	0	425	0
Serratia	0	89	0
Shewanella	0	90	0
Shigella	0	223533	0
Sinorhizobium	0	15	0
Sphingobacterium	0	10	0
Sphingobium	0	22	0
Spongiactinospora	0	10	0
Sporobacter	0	46	0
Staphylococcus	0	17	0
Stomatobaculum	0	81	0
Streptobacillus	0	15	0
Streptococcus	0	1228	0
Streptomyces	0	117	0
Subdoligranulum	0	5663	0
Superficieibacter	0	39	0
Tannerella	0	579	0
Tissierella	0	16	0
Treponema	0	96	0
Tyzzerella	0	876	0
Veillonella	1994000	318611	301578
Vibrio	0	23	0
Wenyingzhuangia	0	186	0
Winogradskyella	0	117	0
Xanthomonas	0	17	0
Yersinia	0	367	0
Yokenella	0	25	0
