phylum	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Actinobacteria	883000	40779	39181
Ascomycota	63000	8528	9498
Bacteroidetes	1459000	529408	481256
Basidiomycota	0	66	0
Euryarchaeota	17000	1028	1187
Fibrobacteres	0	39	0
Firmicutes	5792120	898991	706847
Fusobacteria	753000	108728	83903
Proteobacteria	871700	322887	343331
Spirochaetes	0	96	0
Thermotogae	0	16	0
Verrucomicrobia	162000	38211	39181
