order	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Acidaminococcales	0	1608	0
Alteromonadales	0	140	0
Bacteroidales	1459000	527419	481256
Bifidobacteriales	883000	38997	39181
Eggerthellales	0	1345	0
Enterobacterales	871700	320949	343331
Erysipelotrichales	0	873	0
Eubacteriales	2830010	551933	387064
Flavobacteriales	0	1979	0
Fusobacteriales	753000	108728	83903
Lactobacillales	968110	24187	18205
Methanobacteriales	17000	1028	1187
Micrococcales	0	120	0
Neisseriales	0	914	0
Pseudomonadales	0	403	0
Saccharomycetales	63000	8528	9498
Selenomonadales	0	1460	0
Streptomycetales	0	117	0
Veillonellales	1994000	318864	301578
Verrucomicrobiales	162000	38211	39181
